,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2019-05-22,92.58899688720703,93.57450103759766,92.55000305175781,92.98400115966797,92.98400115966797,58732000,57.5625,58.18899917602539,57.54999923706055,57.79249954223633,57.79249954223633,18826000
2019-05-23,91.82949829101562,92.19999694824219,90.20999908447266,90.77400207519531,90.77400207519531,88486000,57.30350112915039,57.502498626708984,56.65800094604492,57.266998291015625,57.266998291015625,25214000
2019-05-24,91.79450225830078,92.08799743652344,90.89250183105469,91.16400146484375,91.16400146484375,67394000,57.599998474121094,57.71799850463867,56.83549880981445,56.93050003051758,56.93050003051758,18554000
2019-05-28,91.63749694824219,92.4635009765625,91.36750030517578,91.82150268554688,91.82150268554688,64000000,57.07400131225586,57.824501037597656,56.93349838256836,56.97800064086914,56.97800064086914,20948000
2019-05-29,91.15599822998047,91.5,90.37650299072266,90.95950317382812,90.95950317382812,85580000,56.6349983215332,56.75,55.59749984741211,55.99700164794922,55.99700164794922,36230000
2019-05-30,91.27449798583984,91.47350311279297,90.3915023803711,90.81600189208984,90.81600189208984,62938000,56.00749969482422,56.34000015258789,55.79499816894531,56.070499420166016,56.070499420166016,18088000
2019-05-31,89.50050354003906,89.77950286865234,88.63500213623047,88.75350189208984,88.75350189208984,92376000,55.28200149536133,55.66999816894531,55.16749954223633,55.32500076293945,55.32500076293945,31582000
2019-06-03,88.00050354003906,88.31449890136719,83.5999984741211,84.6344985961914,84.6344985961914,181974000,53.346500396728516,53.349998474121094,51.35150146484375,51.9370002746582,51.9370002746582,96890000
2019-06-04,84.96199798583984,86.54100036621094,84.04450225830078,86.47799682617188,86.47799682617188,113582000,52.2244987487793,52.922000885009766,51.80149841308594,52.7244987487793,52.7244987487793,60512000
2019-06-05,87.4800033569336,87.5999984741211,85.76249694824219,86.92500305175781,86.92500305175781,84796000,52.75,52.84049987792969,51.650001525878906,52.231998443603516,52.231998443603516,46988000
2019-06-06,86.885498046875,88.0,86.30650329589844,87.71800231933594,87.71800231933594,73786000,52.31050109863281,52.5,51.7755012512207,52.38800048828125,52.38800048828125,29020000
2019-06-07,88.18499755859375,90.3125,87.97450256347656,90.20149993896484,90.20149993896484,96164000,52.7140007019043,53.67150115966797,52.557498931884766,53.41849899291992,53.41849899291992,43828000
2019-06-10,91.0999984741211,94.24349975585938,90.9000015258789,93.03150177001953,93.03150177001953,107420000,53.849998474121094,54.742000579833984,53.763999938964844,54.13800048828125,54.13800048828125,28510000
2019-06-11,94.1624984741211,94.68499755859375,92.9000015258789,93.18499755859375,93.18499755859375,80854000,54.8494987487793,55.20050048828125,53.97850036621094,54.051998138427734,54.051998138427734,33508000
2019-06-12,92.6989974975586,93.25,92.21900177001953,92.76599884033203,92.76599884033203,53566000,53.997501373291016,54.125999450683594,53.47999954223633,53.95500183105469,53.95500183105469,23670000
2019-06-13,93.33599853515625,94.15450286865234,93.11100006103516,93.51499938964844,93.51499938964844,55916000,54.23550033569336,54.829498291015625,54.128501892089844,54.550498962402344,54.550498962402344,20814000
2019-06-14,93.19999694824219,93.80000305175781,92.94999694824219,93.4834976196289,93.4834976196289,57024000,54.48699951171875,54.737998962402344,54.07400131225586,54.314998626708984,54.314998626708984,24582000
2019-06-17,93.82499694824219,94.78450012207031,93.77249908447266,94.30149841308594,94.30149841308594,52686000,54.45500183105469,55.06399917602539,54.400001525878906,54.69449996948242,54.69449996948242,19770000
2019-06-18,95.06749725341797,96.08350372314453,94.989501953125,95.06849670410156,95.06849670410156,77914000,55.57500076293945,55.93899917602539,55.03950119018555,55.262001037597656,55.262001037597656,34526000
2019-06-19,95.39199829101562,95.97899627685547,94.62349700927734,95.43949890136719,95.43949890136719,57906000,55.36199951171875,55.471500396728516,54.80149841308594,55.22549819946289,55.22549819946289,26714000
2019-06-20,96.66649627685547,96.76000213623047,95.29000091552734,95.90950012207031,95.90950012207031,64344000,56.084999084472656,56.13600158691406,55.349998474121094,55.65999984741211,55.65999984741211,24018000
2019-06-21,95.80500030517578,96.29750061035156,95.37899780273438,95.56500244140625,95.56500244140625,78672000,55.49300003051758,56.32849884033203,55.486000061035156,56.26850128173828,56.26850128173828,50774000
2019-06-24,95.63300323486328,95.84300231933594,95.06500244140625,95.69499969482422,95.69499969482422,45660000,56.0,56.17850112915039,55.66550064086914,55.834999084472656,55.834999084472656,24236000
2019-06-25,95.59200286865234,95.81950378417969,93.62100219726562,93.91349792480469,93.91349792480469,60246000,55.75400161743164,55.78499984741211,54.22999954223633,54.37900161743164,54.37900161743164,31644000
2019-06-26,94.6240005493164,95.19000244140625,94.36599731445312,94.8915023803711,94.8915023803711,48838000,54.54999923706055,54.75600051879883,53.68450164794922,54.01599884033203,54.01599884033203,34698000
2019-06-27,95.0999984741211,95.56199645996094,94.9020004272461,95.21399688720703,95.21399688720703,42834000,54.337501525878906,54.42300033569336,53.79249954223633,53.83150100708008,53.83150100708008,24078000
2019-06-28,95.45500183105469,95.64700317382812,94.19999694824219,94.68150329589844,94.68150329589844,60748000,53.86149978637695,54.13999938964844,53.689998626708984,54.13999938964844,54.13999938964844,33672000
2019-07-01,96.14900207519531,96.49099731445312,95.73300170898438,96.1094970703125,96.1094970703125,63842000,55.051998138427734,55.429500579833984,54.76649856567383,55.0,55.0,29196000
2019-07-02,95.96900177001953,96.739501953125,95.33149719238281,96.71549987792969,96.71549987792969,52918000,55.24150085449219,55.644500732421875,54.98350143432617,55.630001068115234,55.630001068115234,20630000
2019-07-03,96.79450225830078,97.07949829101562,96.5250015258789,96.94999694824219,96.94999694824219,33806000,55.92499923706055,56.39950180053711,55.74250030517578,56.14950180053711,56.14950180053711,20154000
2019-07-05,96.43000030517578,97.29499816894531,96.26499938964844,97.14550018310547,97.14550018310547,52568000,55.96849822998047,56.73249816894531,55.875,56.63349914550781,56.63349914550781,29794000
2019-07-08,96.70600128173828,97.80000305175781,96.4124984741211,97.61599731445312,97.61599731445312,57668000,56.29349899291992,56.36050033569336,55.5880012512207,55.839500427246094,55.839500427246094,29888000
2019-07-09,97.38999938964844,99.50050354003906,97.17400360107422,99.41500091552734,99.41500091552734,86914000,55.51599884033203,56.393001556396484,55.35749816894531,56.214500427246094,56.214500427246094,29472000
2019-07-10,99.82550048828125,101.24700164794922,99.7699966430664,100.87049865722656,100.87049865722656,98638000,56.61600112915039,57.117000579833984,56.53300094604492,57.045501708984375,57.045501708984375,30710000
2019-07-11,101.28099822998047,101.79000091552734,99.76499938964844,100.05349731445312,100.05349731445312,86356000,57.30799865722656,57.6619987487793,56.97650146484375,57.20399856567383,57.20399856567383,26004000
2019-07-12,100.41349792480469,100.8499984741211,100.19349670410156,100.55000305175781,100.55000305175781,50186000,57.14649963378906,57.375,56.928001403808594,57.266998291015625,57.266998291015625,21878000
2019-07-15,101.06999969482422,101.1449966430664,100.07749938964844,101.04949951171875,101.04949951171875,59626000,57.266998291015625,57.534000396728516,57.0,57.5255012512207,57.5255012512207,21164000
2019-07-16,100.52899932861328,101.31600189208984,100.06099700927734,100.49500274658203,100.49500274658203,52364000,57.33649826049805,57.92900085449219,57.33649826049805,57.67300033569336,57.67300033569336,25352000
2019-07-17,100.35250091552734,100.5999984741211,99.60150146484375,99.60150146484375,99.60150146484375,51176000,57.54600143432617,57.922000885009766,57.33100128173828,57.33700180053711,57.33700180053711,19538000
2019-07-18,99.00050354003906,99.375,97.57749938964844,98.8949966430664,98.8949966430664,69738000,57.099998474121094,57.40850067138672,56.643001556396484,57.36199951171875,57.36199951171875,25450000
2019-07-19,99.56050109863281,99.80000305175781,98.11150360107422,98.22599792480469,98.22599792480469,63712000,57.465999603271484,57.57899856567383,56.5625,56.57749938964844,56.57749938964844,23184000
2019-07-22,98.55699920654297,99.44999694824219,97.91300201416016,99.28150177001953,99.28150177001953,58000000,56.77349853515625,57.000999450683594,56.260501861572266,56.96049880981445,56.96049880981445,28914000
2019-07-23,99.79949951171875,99.8895034790039,98.65650177001953,99.72450256347656,99.72450256347656,54070000,57.17250061035156,57.44300079345703,56.64250183105469,57.40250015258789,57.40250015258789,20648000
2019-07-24,98.46499633789062,100.06500244140625,98.29350280761719,100.04049682617188,100.04049682617188,52626000,56.63100051879883,57.27299880981445,56.425498962402344,56.98649978637695,56.98649978637695,27192000
2019-07-25,100.05000305175781,100.05999755859375,98.63600158691406,98.69100189208984,98.69100189208984,82730000,56.9474983215332,57.179500579833984,56.18550109863281,56.797000885009766,56.797000885009766,54762000
2019-07-26,97.0999984741211,97.54499816894531,96.22550201416016,97.15249633789062,97.15249633789062,98542000,61.400001525878906,63.419498443603516,61.400001525878906,62.26100158691406,62.26100158691406,121216000
2019-07-29,96.5,96.61150360107422,94.5270004272461,95.62249755859375,95.62249755859375,89864000,62.125,62.449501037597656,61.5099983215332,62.09199905395508,62.09199905395508,41382000
2019-07-30,94.55599975585938,95.49449920654297,94.17400360107422,94.92649841308594,94.92649841308594,58218000,61.349998474121094,61.84550094604492,61.26599884033203,61.400001525878906,61.400001525878906,28616000
2019-07-31,94.90550231933594,94.97750091552734,92.47200012207031,93.33899688720703,93.33899688720703,89414000,61.243499755859375,61.74549865722656,60.409000396728516,60.90999984741211,60.90999984741211,39960000
2019-08-01,93.58599853515625,94.89600372314453,92.20050048828125,92.76599884033203,92.76599884033203,94266000,60.881500244140625,61.814998626708984,60.349998474121094,60.5890007019043,60.5890007019043,35426000
2019-08-02,92.25350189208984,92.31800079345703,90.4010009765625,91.16200256347656,91.16200256347656,99124000,60.150001525878906,60.474998474121094,59.5,59.816001892089844,59.816001892089844,34910000
2019-08-05,88.51100158691406,89.43350219726562,87.43900299072266,88.25650024414062,88.25650024414062,121164000,58.64849853515625,58.84400177001953,57.13750076293945,57.73749923706055,57.73749923706055,47840000
2019-08-06,89.61150360107422,89.6884994506836,87.66999816894531,89.3915023803711,89.3915023803711,101406000,58.2760009765625,59.06999969482422,58.076499938964844,58.55400085449219,58.55400085449219,36014000
2019-08-07,88.69950103759766,89.94650268554688,87.8499984741211,89.66999816894531,89.66999816894531,90538000,57.88999938964844,58.993499755859375,57.54199981689453,58.795501708984375,58.795501708984375,30686000
2019-08-08,90.30000305175781,91.71299743652344,89.90550231933594,91.64450073242188,91.64450073242188,74024000,59.32149887084961,60.31399917602539,58.70000076293945,60.30950164794922,60.30950164794922,30116000
2019-08-09,91.44750213623047,91.55449676513672,90.11100006103516,90.37899780273438,90.37899780273438,57596000,59.9995002746582,60.222999572753906,59.24449920654297,59.44499969482422,59.44499969482422,20418000
2019-08-12,89.79949951171875,90.04900360107422,88.8499984741211,89.24600219726562,89.24600219726562,58110000,59.0,59.28049850463867,58.43600082397461,58.724998474121094,58.724998474121094,22064000
2019-08-13,89.1500015258789,91.58699798583984,89.0,91.21700286865234,91.21700286865234,79880000,58.717498779296875,60.27149963378906,58.64950180053711,59.83649826049805,59.83649826049805,28434000
2019-08-14,89.65049743652344,89.78250122070312,87.86100006103516,88.14800262451172,88.14800262451172,97872000,58.80350112915039,59.13949966430664,58.05350112915039,58.212501525878906,58.212501525878906,35430000
2019-08-15,89.09950256347656,89.4000015258789,88.0979995727539,88.80599975585938,88.80599975585938,75182000,58.42150115966797,58.82099914550781,58.150001525878906,58.465999603271484,58.465999603271484,28506000
2019-08-16,89.64450073242188,90.14550018310547,89.22750091552734,89.62850189208984,89.62850189208984,60360000,59.03950119018555,59.19200134277344,58.650001525878906,58.96049880981445,58.96049880981445,24916000
2019-08-19,90.90399932861328,91.30000305175781,90.63050079345703,90.80599975585938,90.80599975585938,56326000,59.59149932861328,60.46950149536133,59.52000045776367,60.02199935913086,60.02199935913086,24450000
2019-08-20,90.7249984741211,90.84100341796875,89.99400329589844,90.06900024414062,90.06900024414062,38590000,59.76750183105469,59.900001525878906,59.15250015258789,59.17649841308594,59.17649841308594,20206000
2019-08-21,90.96949768066406,91.47899627685547,90.75,91.177001953125,91.177001953125,40636000,59.79100036621094,60.02799987792969,59.395999908447266,59.57899856567383,59.57899856567383,14152000
